iter	Logloss
0	0.5922505763
1	0.5297072858
2	0.4710493079
3	0.4277232837
4	0.3995832748
5	0.3701299558
6	0.3521030869
7	0.3384876346
8	0.3268139762
9	0.3180858618
10	0.3080862867
11	0.2929638079
12	0.2834262378
13	0.2772667409
14	0.2672529033
15	0.2613241968
16	0.2558197801
17	0.2508005992
18	0.2460495505
19	0.240142627
20	0.2368974148
21	0.2334102214
22	0.2315336689
23	0.2271653453
24	0.2244712614
25	0.2223333219
26	0.219704901
27	0.2178332157
28	0.2154066326
29	0.2125129633
30	0.2107703791
31	0.2078638164
32	0.2065141886
33	0.2035090493
34	0.2019963079
35	0.200363768
36	0.1982629418
37	0.1966459085
38	0.1933769263
39	0.1920027221
40	0.1898974539
41	0.1880197274
42	0.1866789485
43	0.185531862
44	0.1842904805
45	0.1831006539
46	0.182447713
47	0.1812247241
48	0.1801727529
49	0.1783551896
50	0.1775383541
51	0.1768342806
52	0.1758818014
53	0.1749288615
54	0.1741188571
55	0.1728757517
56	0.1717060472
57	0.1711921905
58	0.1707360443
59	0.1700692179
60	0.168636371
61	0.1681528357
62	0.1672291085
63	0.1663220308
64	0.1657642221
65	0.1652323797
66	0.1650727197
67	0.1639040151
68	0.1635658399
69	0.1629164919
70	0.162748983
71	0.1621897573
72	0.1619095038
73	0.1609642146
74	0.1601348953
75	0.1591826655
76	0.1587643606
77	0.1578582258
78	0.1570349518
79	0.1565256444
80	0.1558123153
81	0.1550430896
82	0.1547218359
83	0.1538985179
84	0.1537722186
85	0.1532452242
86	0.1528896203
87	0.1521507364
88	0.1519159701
89	0.1512175977
90	0.1509057055
91	0.1504900854
92	0.1503206656
93	0.1499839653
94	0.1497327783
95	0.1492165479
96	0.1488172549
97	0.1484093571
98	0.1482819437
99	0.1481506726
100	0.1480937388
101	0.1477734346
102	0.1475356605
103	0.1470528123
104	0.1467063869
105	0.1460458714
106	0.1459303328
107	0.1456622089
108	0.1453118219
109	0.1449798973
110	0.1445549486
111	0.1442380706
112	0.1441087603
113	0.1440053696
114	0.1435651404
115	0.1433777153
116	0.1431730369
117	0.1428499583
118	0.142792299
119	0.142367872
120	0.1416927945
121	0.1414698073
122	0.1413618078
123	0.1409529649
124	0.1408639953
125	0.1405734392
126	0.140359431
127	0.1400806033
128	0.1398334791
129	0.1395343489
130	0.1391741431
131	0.1389835943
132	0.1387301065
133	0.1386558757
134	0.138281914
135	0.1377350004
136	0.1375784904
137	0.1374412077
138	0.1371844002
139	0.1370821899
140	0.1367229272
141	0.1364972307
142	0.1363913223
143	0.1361595378
144	0.1360736762
145	0.135794281
146	0.135686411
147	0.1353544974
148	0.1352410695
149	0.135217593
150	0.1349903797
151	0.1348819628
152	0.1347518992
153	0.1344035775
154	0.1341510437
155	0.134017816
156	0.1338239444
157	0.1335825234
158	0.1333477637
159	0.1332155264
160	0.1331167969
161	0.1329643242
162	0.1329337105
163	0.132850144
164	0.1327957924
165	0.1326050608
166	0.1324046563
167	0.1323323034
168	0.1321374527
169	0.1321042423
170	0.1320054472
171	0.1318107721
172	0.1315983766
173	0.1314252527
174	0.1313168653
175	0.1311534521
176	0.1310112801
177	0.1308938462
178	0.1307434667
179	0.1306651479
180	0.1304384607
181	0.1303092604
182	0.1299612168
183	0.1298462469
184	0.1297803276
185	0.129664185
186	0.1294514462
187	0.1293425041
188	0.1291954697
189	0.1291360388
190	0.1291038251
191	0.1290398204
192	0.1288791795
193	0.1287628922
194	0.1286216465
195	0.1285142017
196	0.1283619395
197	0.1282434532
198	0.1281573496
199	0.1280575075
200	0.1280208641
201	0.1278587514
202	0.1276348755
203	0.1274845727
204	0.1273219984
205	0.1272596156
206	0.1272366492
207	0.127021825
208	0.1269460166
209	0.1268981492
210	0.12678347
211	0.1267174419
212	0.1266756734
213	0.1265956076
214	0.1264903361
215	0.1263806564
216	0.1263151137
217	0.1262751269
218	0.1261525785
219	0.1260045759
220	0.1258399491
221	0.1257211377
222	0.125623519
223	0.1255454009
224	0.1254712278
225	0.1253949457
226	0.1253308337
227	0.125300157
228	0.1252839839
229	0.1252128127
230	0.1251294459
231	0.125119129
232	0.1250993299
233	0.1250240035
234	0.1249994918
235	0.1249637048
236	0.1249008655
237	0.1248716153
238	0.1248463343
239	0.124803661
240	0.124670935
241	0.1245972196
242	0.1244891238
243	0.1244154813
244	0.1243945565
245	0.12437736
246	0.1242129207
